date,seat,task,score,notes
2026-08-25,md,"CEO pulse three LLP cards",1,"{'threeCards':true,'notElim':true}"
2026-08-25,ll,"Land deed + RERA QPR ×3",2,"[{'pid':'p_av','acquire':null,'status':'acquired','consideration':126000000,'deed':'SD/AV/2024/0412','rera':null,'filed'"
2026-08-25,md,"Vendor activation ×3",1,"['active','active','active']"
2026-08-25,cm,"RFQ → paper quote → PO ×3",2,"['po_cj4qijse','po_iijof7w0','po_1f5q7xh6']"
2026-08-25,md,"Approve POs",1,"3 cards"
2026-08-25,svav,"Monday diary labour-by-trade",1,"ok"
2026-08-25,svac,"Monday diary labour-by-trade",1,"ok"
2026-08-25,svsf,"Monday diary labour-by-trade",1,"ok"
2026-08-25,st,"Receive/issue materials",1,"{'err':null,'received':20,'issued':5}"
2026-08-25,st2,"Receive/issue materials",1,"{'err':null,'received':20,'issued':5}"
2026-08-25,smav,"Book-next 2 units",2,"{'errs':['ok','ok'],'booked':['AVA-0102','AVA-0101']}"
2026-08-25,smsf,"Book-next 2 units",2,"{'errs':['ok','ok'],'booked':['SFA-0102','SFA-0101']}"
2026-08-25,smac,"Book-next 2 units",2,"{'errs':['ok','ok'],'booked':['ACA-0102','ACA-0101']}"
2026-08-25,agap1,"Channel isolation + daily report",1,"{'companyId':'pt_ap','projectIds':['p_av'],'hits':[],'report':null}"
2026-08-25,agsy1,"Daily report",1,"ok"
2026-08-25,agsbg1,"Daily report",1,"ok"
2026-08-25,dir1,"Signed in / must-do present",1,"Director (group)"
2026-08-25,dir2,"Signed in / must-do present",1,"Director (group)"
2026-08-25,fl,"Signed in / must-do present",1,"Finance Lead"
2026-08-25,fl2,"Signed in / must-do present",1,"Finance (group books)"
2026-08-25,dc,"Signed in / must-do present",1,"Document Controller"
2026-08-25,pdav,"Signed in / must-do present",1,"Project Director (Aerovista)"
2026-08-25,pdac,"Signed in / must-do present",1,"Project Director (Acropolis)"
2026-08-25,pdsf,"Signed in / must-do present",1,"Project Director (Sunflower)"
2026-08-25,seav,"Signed in / must-do present",1,"Site Engineer (Aerovista)"
2026-08-25,seac,"Signed in / must-do present",1,"Site Engineer (Acropolis)"
2026-08-25,sesf,"Signed in / must-do present",1,"Site Engineer (Sunflower)"
2026-08-25,caap,"Signed in / must-do present",1,"Aadhaar Prime — company admin"
2026-08-25,casy,"Signed in / must-do present",1,"Square and Yard — company admin"
2026-08-25,casbg,"Signed in / must-do present",1,"SBG Sales Group — company admin"
2026-08-25,agap2,"Signed in / must-do present",1,"Aadhaar Prime — agent 2"
2026-08-25,sm,"Signed in / must-do present",1,"Sales Manager (group)"
